R-Acetonitrile,Br-Acetonitrile - TW,Re-Acetone-HD,Br-Acetone-TW,Re-Ethyl Acetate-HD,Br-Ethyl Acetate-TW,Re-Chloroform-HD,Re-Methanol - HD,Br-Methanol-TW,Re-ethanol-HD,Br-Ethanol-TW,Re-IPROH-HD,Br-IPROH-TW,
0.244,0.494,0.166,0.283,0.06,0.014,0.047,0.102,0.004,0.191,0.096,0.368,0.4,468.5
0.249,0.509,0.17,0.293,0.06,0.014,0.048,0.101,0.004,0.191,0.094,0.374,0.404,469
0.253,0.524,0.174,0.303,0.06,0.014,0.049,0.1,0.004,0.192,0.092,0.379,0.407,469.5
0.258,0.54,0.178,0.313,0.06,0.014,0.05,0.099,0.004,0.192,0.09,0.384,0.41,470
0.262,0.555,0.181,0.324,0.06,0.014,0.051,0.098,0.004,0.193,0.088,0.389,0.412,470.5
0.267,0.571,0.185,0.335,0.06,0.014,0.052,0.098,0.003,0.193,0.087,0.394,0.415,471
0.272,0.586,0.189,0.347,0.061,0.014,0.053,0.097,0.003,0.194,0.085,0.399,0.416,471.5
0.277,0.602,0.193,0.359,0.061,0.014,0.054,0.096,0.003,0.194,0.083,0.403,0.418,472
0.281,0.617,0.198,0.371,0.061,0.015,0.055,0.095,0.003,0.194,0.081,0.408,0.419,472.5
0.286,0.632,0.202,0.384,0.062,0.015,0.056,0.094,0.003,0.195,0.079,0.413,0.42,473
0.291,0.647,0.206,0.396,0.063,0.015,0.058,0.093,0.003,0.195,0.077,0.418,0.42,473.5
0.296,0.662,0.211,0.409,0.064,0.015,0.059,0.092,0.003,0.195,0.075,0.423,0.42,474
0.301,0.676,0.215,0.422,0.064,0.016,0.06,0.091,0.002,0.195,0.073,0.427,0.42,474.5
0.306,0.691,0.22,0.436,0.065,0.016,0.062,0.09,0.002,0.195,0.071,0.432,0.419,475
0.31,0.704,0.224,0.449,0.066,0.017,0.063,0.089,0.002,0.195,0.069,0.436,0.418,475.5
0.315,0.717,0.229,0.462,0.067,0.017,0.065,0.088,0.002,0.195,0.067,0.441,0.416,476
0.32,0.73,0.233,0.475,0.068,0.017,0.066,0.087,0.002,0.195,0.065,0.445,0.414,476.5
0.325,0.742,0.238,0.488,0.069,0.018,0.067,0.086,0.002,0.195,0.063,0.449,0.412,477
0.33,0.753,0.243,0.5,0.07,0.019,0.069,0.085,0.002,0.195,0.061,0.453,0.409,477.5
0.335,0.764,0.247,0.512,0.072,0.019,0.07,0.084,0.001,0.194,0.059,0.458,0.406,478
0.34,0.774,0.252,0.524,0.073,0.02,0.072,0.083,0.001,0.194,0.057,0.462,0.402,478.5
0.345,0.784,0.257,0.535,0.075,0.02,0.074,0.082,0.001,0.194,0.055,0.466,0.399,479
0.349,0.792,0.262,0.546,0.076,0.021,0.075,0.081,0.001,0.193,0.053,0.47,0.394,479.5
0.355,0.801,0.267,0.556,0.078,0.021,0.077,0.08,0.001,0.193,0.052,0.474,0.389,480
0.36,0.808,0.272,0.565,0.079,0.022,0.078,0.079,0.001,0.192,0.05,0.478,0.385,480.5
0.364,0.815,0.278,0.574,0.081,0.022,0.08,0.078,0.001,0.192,0.048,0.481,0.379,481
0.369,0.82,0.283,0.582,0.083,0.022,0.082,0.076,0.001,0.191,0.046,0.485,0.373,481.5
0.374,0.825,0.288,0.589,0.084,0.022,0.084,0.075,0.001,0.19,0.044,0.488,0.368,482
0.379,0.829,0.294,0.596,0.086,0.023,0.086,0.074,0.001,0.19,0.043,0.492,0.361,482.5
0.383,0.832,0.299,0.602,0.088,0.023,0.087,0.073,0.001,0.189,0.041,0.495,0.355,483
0.388,0.835,0.304,0.608,0.09,0.023,0.089,0.072,0.001,0.188,0.039,0.498,0.348,483.5
0.393,0.836,0.31,0.613,0.092,0.023,0.091,0.071,0.001,0.187,0.038,0.501,0.34,484
0.397,0.837,0.315,0.617,0.095,0.023,0.093,0.069,0.001,0.186,0.036,0.505,0.333,484.5
0.402,0.837,0.321,0.621,0.097,0.023,0.095,0.068,0,0.185,0.035,0.507,0.325,485
0.407,0.837,0.326,0.625,0.099,0.023,0.097,0.067,0,0.185,0.033,0.51,0.318,485.5
0.411,0.835,0.331,0.629,0.101,0.022,0.099,0.066,0,0.183,0.032,0.513,0.309,486
0.416,0.833,0.337,0.632,0.104,0.022,0.101,0.065,0,0.182,0.03,0.515,0.301,486.5
0.421,0.83,0.343,0.635,0.106,0.022,0.103,0.064,0,0.181,0.029,0.518,0.292,487
0.425,0.827,0.348,0.638,0.109,0.022,0.105,0.063,0,0.18,0.027,0.52,0.283,487.5
0.43,0.822,0.354,0.641,0.111,0.021,0.108,0.061,0,0.178,0.026,0.522,0.273,488
0.434,0.817,0.36,0.643,0.114,0.021,0.11,0.06,0,0.177,0.025,0.524,0.264,488.5
0.438,0.811,0.366,0.646,0.117,0.02,0.112,0.059,0,0.176,0.024,0.526,0.255,489
0.443,0.805,0.372,0.649,0.12,0.02,0.114,0.058,0,0.174,0.022,0.528,0.246,489.5
0.447,0.797,0.377,0.652,0.122,0.02,0.117,0.057,0,0.173,0.021,0.53,0.236,490
0.451,0.789,0.383,0.655,0.125,0.019,0.119,0.056,0,0.171,0.02,0.532,0.227,490.5
0.455,0.78,0.389,0.657,0.128,0.019,0.121,0.054,0,0.17,0.019,0.533,0.218,491
0.459,0.77,0.395,0.66,0.131,0.019,0.123,0.053,0,0.168,0.018,0.534,0.208,491.5
0.463,0.759,0.401,0.663,0.134,0.018,0.126,0.052,0,0.167,0.017,0.536,0.199,492
0.467,0.748,0.407,0.666,0.137,0.018,0.128,0.051,0,0.165,0.016,0.537,0.19,492.5
0.471,0.735,0.413,0.668,0.141,0.018,0.13,0.05,0,0.163,0.015,0.538,0.181,493
0.475,0.722,0.419,0.67,0.144,0.018,0.133,0.049,0,0.162,0.015,0.538,0.171,493.5
0.478,0.708,0.425,0.672,0.148,0.018,0.136,0.048,0,0.16,0.014,0.539,0.163,494
0.482,0.693,0.431,0.673,0.151,0.019,0.138,0.047,0,0.158,0.013,0.539,0.154,494.5
0.486,0.677,0.437,0.674,0.154,0.019,0.141,0.045,0,0.156,0.012,0.54,0.145,495
0.489,0.661,0.443,0.674,0.158,0.019,0.143,0.044,0,0.155,0.012,0.54,0.137,495.5
0.492,0.643,0.449,0.673,0.161,0.019,0.146,0.043,0,0.153,0.011,0.54,0.129,496
0.496,0.624,0.455,0.671,0.165,0.02,0.148,0.042,0,0.151,0.01,0.54,0.121,496.5
0.499,0.605,0.46,0.667,0.169,0.02,0.151,0.041,0,0.149,0.01,0.54,0.113,497
0.502,0.586,0.466,0.663,0.173,0.021,0.154,0.04,0,0.147,0.01,0.539,0.106,497.5
0.505,0.565,0.472,0.658,0.177,0.021,0.157,0.039,0,0.145,0.009,0.539,0.098,498
0.508,0.544,0.479,0.651,0.181,0.022,0.159,0.038,0,0.143,0.008,0.538,0.092,498.5
0.511,0.522,0.484,0.642,0.185,0.023,0.162,0.037,0,0.141,0.008,0.537,0.085,499
0.514,0.5,0.49,0.633,0.189,0.023,0.165,0.036,0,0.139,0.008,0.536,0.079,499.5
0.516,0.478,0.496,0.621,0.193,0.024,0.167,0.036,0,0.137,0.007,0.535,0.073,500
0.519,0.455,0.502,0.608,0.197,0.025,0.17,0.035,0,0.135,0.007,0.534,0.067,500.5
0.521,0.432,0.508,0.594,0.201,0.025,0.173,0.034,0,0.133,0.006,0.533,0.061,501
0.523,0.41,0.514,0.578,0.206,0.026,0.176,0.033,0,0.131,0.006,0.531,0.056,501.5
0.526,0.387,0.519,0.561,0.21,0.027,0.179,0.032,0,0.129,0.006,0.53,0.052,502
0.528,0.364,0.525,0.542,0.215,0.027,0.182,0.031,0,0.127,0.006,0.528,0.047,502.5
0.53,0.342,0.531,0.522,0.219,0.028,0.185,0.03,0,0.125,0.006,0.526,0.043,503
0.532,0.32,0.537,0.5,0.224,0.028,0.188,0.029,0,0.123,0.005,0.524,0.039,503.5
0.533,0.297,0.543,0.477,0.229,0.028,0.191,0.029,0,0.121,0.005,0.522,0.035,504
0.535,0.276,0.548,0.454,0.233,0.028,0.194,0.028,0,0.119,0.005,0.519,0.031,504.5
0.537,0.256,0.554,0.43,0.238,0.028,0.197,0.027,0,0.117,0.005,0.517,0.028,505
0.538,0.236,0.56,0.405,0.243,0.028,0.199,0.026,0,0.114,0.004,0.514,0.025,505.5
0.539,0.217,0.565,0.381,0.248,0.028,0.202,0.025,0,0.113,0.004,0.511,0.023,506
0.541,0.2,0.571,0.357,0.253,0.027,0.205,0.025,0,0.111,0.004,0.509,0.02,506.5
0.542,0.182,0.576,0.332,0.258,0.027,0.208,0.024,0,0.108,0.004,0.505,0.018,507
0.543,0.166,0.582,0.307,0.263,0.026,0.211,0.023,0,0.106,0.004,0.502,0.016,507.5
0.544,0.151,0.587,0.284,0.268,0.025,0.214,0.023,0,0.104,0.004,0.499,0.014,508
0.544,0.137,0.593,0.261,0.273,0.024,0.217,0.022,-0.001,0.102,0.004,0.496,0.013,508.5
0.545,0.123,0.598,0.238,0.279,0.023,0.22,0.021,-0.001,0.1,0.004,0.492,0.011,509
0.545,0.112,0.603,0.218,0.284,0.021,0.223,0.021,-0.001,0.098,0.004,0.489,0.01,509.5
0.546,0.101,0.608,0.198,0.289,0.02,0.226,0.02,0,0.096,0.004,0.485,0.008,510
