LiCl,,,,,,,NaI,,,,,,,
Br Pure,r+50,Br+100,Br+150,Br+200,Br+250 ,,Br Pure,Br+50,Br+100,Br+150,Br+200,Br+250,,
0.209,0.05,0.008,0.002,-0.004,-0.006,,0.058,0.017,0,-0.003,-0.005,-0.004,457,
0.216,0.051,0.009,0.002,-0.004,-0.006,,0.061,0.018,0,-0.003,-0.005,-0.003,457.5,
0.223,0.053,0.009,0.002,-0.004,-0.006,,0.063,0.019,0,-0.003,-0.005,-0.003,458,
0.23,0.054,0.009,0.002,-0.004,-0.006,,0.065,0.019,0,-0.003,-0.005,-0.003,458.5,
0.237,0.056,0.01,0.002,-0.004,-0.006,,0.068,0.02,0.001,-0.003,-0.005,-0.003,459,
0.244,0.058,0.01,0.003,-0.004,-0.006,,0.07,0.021,0.001,-0.002,-0.005,-0.003,459.5,
0.252,0.059,0.011,0.003,-0.004,-0.006,,0.073,0.022,0.001,-0.002,-0.004,-0.003,460,
0.259,0.061,0.011,0.003,-0.004,-0.006,,0.075,0.022,0.001,-0.002,-0.005,-0.003,460.5,
0.267,0.063,0.011,0.003,-0.004,-0.006,,0.078,0.023,0.001,-0.002,-0.005,-0.003,461,
0.274,0.064,0.011,0.003,-0.004,-0.006,,0.081,0.024,0.001,-0.002,-0.005,-0.003,461.5,
0.282,0.066,0.012,0.003,-0.004,-0.006,,0.084,0.025,0.001,-0.002,-0.004,-0.003,462,
0.29,0.068,0.012,0.003,-0.004,-0.006,,0.087,0.025,0.001,-0.002,-0.004,-0.003,462.5,
0.298,0.069,0.012,0.003,-0.004,-0.006,,0.09,0.026,0.002,-0.002,-0.004,-0.003,463,
0.306,0.071,0.013,0.004,-0.003,-0.006,,0.093,0.027,0.002,-0.002,-0.004,-0.003,463.5,
0.314,0.073,0.013,0.004,-0.003,-0.006,,0.096,0.028,0.002,-0.002,-0.004,-0.003,464,
0.323,0.075,0.013,0.004,-0.003,-0.006,,0.099,0.029,0.002,-0.002,-0.004,-0.003,464.5,
0.331,0.077,0.014,0.004,-0.003,-0.006,,0.102,0.029,0.002,-0.002,-0.004,-0.003,465,
0.339,0.078,0.014,0.004,-0.003,-0.006,,0.106,0.03,0.002,-0.002,-0.004,-0.003,465.5,
0.347,0.08,0.015,0.004,-0.003,-0.006,,0.109,0.031,0.002,-0.002,-0.004,-0.003,466,
0.355,0.082,0.015,0.004,-0.003,-0.006,,0.112,0.032,0.002,-0.002,-0.004,-0.003,466.5,
0.363,0.083,0.015,0.004,-0.003,-0.006,,0.115,0.033,0.002,-0.002,-0.004,-0.003,467,
0.371,0.085,0.016,0.004,-0.003,-0.006,,0.119,0.034,0.003,-0.001,-0.004,-0.003,467.5,
