0.212,0.223,0.044,0.061,0.08,0.005,-0.002,523
0.21,0.221,0.044,0.06,0.078,0.005,-0.002,523.5
0.208,0.218,0.043,0.059,0.077,0.005,-0.002,524
0.205,0.215,0.042,0.057,0.076,0.005,-0.002,524.5
0.203,0.212,0.041,0.056,0.075,0.005,-0.002,525
0.2,0.209,0.04,0.055,0.073,0.005,-0.002,525.5
0.198,0.206,0.04,0.054,0.072,0.005,-0.002,526
0.196,0.203,0.039,0.053,0.071,0.005,-0.002,526.5
0.193,0.2,0.038,0.052,0.07,0.005,-0.002,527
0.191,0.197,0.037,0.051,0.069,0.005,-0.002,527.5
0.188,0.194,0.036,0.049,0.068,0.005,-0.002,528
0.186,0.191,0.036,0.048,0.066,0.005,-0.002,528.5
0.183,0.189,0.035,0.047,0.065,0.005,-0.002,529
0.181,0.186,0.034,0.046,0.064,0.004,-0.002,529.5
0.179,0.183,0.033,0.045,0.063,0.004,-0.002,530
0.176,0.18,0.033,0.044,0.062,0.004,-0.002,530.5
0.174,0.178,0.032,0.043,0.061,0.004,-0.002,531
0.171,0.175,0.031,0.042,0.06,0.004,-0.002,531.5
0.169,0.172,0.031,0.041,0.059,0.004,-0.003,532
0.167,0.17,0.03,0.04,0.058,0.004,-0.003,532.5
0.164,0.167,0.029,0.039,0.057,0.004,-0.003,533
0.162,0.165,0.029,0.038,0.056,0.004,-0.002,533.5
0.16,0.162,0.028,0.037,0.055,0.004,-0.002,534
0.157,0.16,0.027,0.036,0.054,0.004,-0.002,534.5
0.155,0.157,0.026,0.035,0.053,0.004,-0.002,535
0.152,0.155,0.026,0.034,0.052,0.004,-0.003,535.5
0.15,0.152,0.025,0.033,0.051,0.004,-0.003,536
0.148,0.149,0.024,0.032,0.05,0.004,-0.003,536.5
0.145,0.147,0.023,0.031,0.049,0.004,-0.003,537
0.143,0.144,0.023,0.03,0.048,0.004,-0.003,537.5
0.141,0.141,0.022,0.029,0.047,0.004,-0.003,538
0.138,0.138,0.021,0.028,0.046,0.004,-0.003,538.5
0.136,0.136,0.021,0.027,0.046,0.004,-0.003,539
0.134,0.133,0.02,0.027,0.045,0.004,-0.003,539.5
0.132,0.131,0.02,0.026,0.044,0.004,-0.003,540
0.129,0.128,0.019,0.025,0.043,0.004,-0.003,540.5
0.127,0.125,0.018,0.024,0.042,0.003,-0.003,541
0.125,0.123,0.018,0.023,0.041,0.003,-0.003,541.5
0.123,0.12,0.017,0.022,0.04,0.003,-0.003,542
0.121,0.118,0.016,0.021,0.04,0.003,-0.003,542.5
0.119,0.116,0.016,0.021,0.039,0.003,-0.003,543
0.116,0.113,0.015,0.02,0.038,0.003,-0.003,543.5
0.114,0.111,0.015,0.019,0.037,0.003,-0.003,544
0.112,0.109,0.014,0.018,0.037,0.003,-0.003,544.5
0.11,0.106,0.014,0.018,0.036,0.003,-0.003,545
0.108,0.104,0.013,0.017,0.035,0.003,-0.003,545.5
0.106,0.102,0.012,0.016,0.034,0.003,-0.003,546
0.104,0.1,0.012,0.015,0.034,0.003,-0.003,546.5
0.102,0.098,0.011,0.015,0.033,0.003,-0.003,547
0.1,0.096,0.011,0.014,0.033,0.003,-0.003,547.5
0.098,0.094,0.01,0.013,0.032,0.003,-0.003,548
0.096,0.091,0.01,0.013,0.031,0.003,-0.003,548.5
0.094,0.09,0.009,0.012,0.031,0.003,-0.003,549
0.092,0.088,0.009,0.011,0.03,0.003,-0.003,549.5
0.09,0.086,0.008,0.011,0.029,0.003,-0.003,550
0.088,0.084,0.008,0.01,0.029,0.002,-0.003,550.5
0.086,0.082,0.007,0.009,0.028,0.002,-0.003,551
0.085,0.08,0.007,0.009,0.028,0.002,-0.003,551.5
0.083,0.078,0.006,0.008,0.027,0.002,-0.003,552
0.081,0.077,0.006,0.007,0.027,0.002,-0.003,552.5
0.079,0.075,0.005,0.007,0.026,0.002,-0.003,553
0.077,0.073,0.005,0.006,0.025,0.002,-0.004,553.5
0.076,0.072,0.004,0.006,0.025,0.002,-0.004,554
0.074,0.07,0.004,0.005,0.024,0.002,-0.004,554.5
0.072,0.068,0.003,0.005,0.024,0.002,-0.004,555
0.071,0.066,0.003,0.004,0.023,0.002,-0.004,555.5
0.069,0.065,0.002,0.003,0.023,0.002,-0.004,556
0.067,0.063,0.002,0.003,0.022,0.002,-0.004,556.5
0.066,0.061,0.002,0.002,0.022,0.002,-0.004,557
0.064,0.06,0.001,0.002,0.021,0.001,-0.004,557.5
0.063,0.058,0.001,0.001,0.021,0.001,-0.004,558
0.061,0.057,0,0.001,0.02,0.001,-0.004,558.5
0.06,0.055,0,0,0.02,0.001,-0.004,559
0.058,0.054,0,0,0.019,0.001,-0.004,559.5
0.057,0.052,-0.001,-0.001,0.019,0.001,-0.004,560
0.055,0.051,-0.001,-0.001,0.019,0.001,-0.004,560.5
0.054,0.049,-0.001,-0.002,0.018,0.001,-0.004,561
